date,total_pnl,median_pnl,trade_count,win_rate,total_volume,avg_trade_size,long_ratio,fg_value,classification,is_profitable,weekend,cumulative_pnl,sentiment_group,fg_yest,pnl_yest,vol_yest,target,intensity_q,sharpe_proxy
2023-05-01,0.0,0.0,3,0.0,477.0,159.0,1.0,63.0,Greed,False,False,0.0,Greed,,,,0.0,Mid-Low,
2023-12-05,0.0,0.0,9,0.0,50005.83,5556.203333333334,0.7777777777777778,75.0,Extreme Greed,False,False,0.0,Greed,63.0,0.0,477.0,0.0,High,
2023-12-14,-205.43473700000007,0.0,11,0.36363636363636365,113203.35,10291.213636363636,0.45454545454545453,72.0,Greed,False,False,-205.43473700000007,Greed,75.0,0.0,50005.83,0.0,Mid-High,
2023-12-15,-24.632033999999997,-12.316016999999999,2,0.0,10609.95,5304.975,1.0,70.0,Greed,False,False,-230.06677100000007,Greed,72.0,-205.43473700000007,113203.35,0.0,Mid-High,
2023-12-16,0.0,0.0,3,0.0,15348.77,5116.256666666667,1.0,67.0,Greed,False,True,-230.06677100000007,Greed,70.0,-24.632033999999997,10609.95,1.0,Mid-Low,
2023-12-17,304.982785,0.02676,14,0.5,116278.02,8305.572857142857,0.21428571428571427,73.0,Greed,True,True,74.9160139999999,Greed,67.0,0.0,15348.77,0.0,Mid-High,
2023-12-18,0.0,0.0,2,0.0,31164.179999999997,15582.089999999998,1.0,65.0,Greed,False,False,74.9160139999999,Greed,73.0,304.982785,116278.02,1.0,Mid-Low,0.0
2023-12-19,1000.5386120000001,4.502567,15,0.6666666666666666,91602.41,6106.827333333334,0.3333333333333333,73.0,Greed,True,False,1075.454626,Greed,65.0,0.0,31164.179999999997,1.0,Mid-High,2.4862761229796204
2023-12-20,162.732282,0.0,18,0.4444444444444444,141636.79,7868.710555555556,0.5555555555555556,74.0,Greed,True,False,1238.186908,Greed,73.0,1000.5386120000001,91602.41,1.0,Mid-High,0.41018383728079855
2023-12-21,537.211402,0.032592,49,0.5306122448979592,125233.97,2555.795306122449,0.4489795918367347,70.0,Greed,True,False,1775.39831,Greed,74.0,162.732282,141636.79,1.0,Mid-High,1.4279189193794108
2023-12-22,141.832675,0.0,10,0.2,88874.28,8887.428,0.8,74.0,Greed,True,False,1917.2309850000001,Greed,70.0,537.211402,125233.97,1.0,Mid-High,0.3957680673192507
2023-12-23,146.936704,10.836504,13,0.6153846153846154,78438.25,6033.711538461538,0.38461538461538464,70.0,Greed,True,True,2064.1676890000003,Greed,74.0,141.832675,88874.28,1.0,Mid-High,0.4305106860634549
2023-12-24,1008.619956,0.0,39,0.38461538461538464,402954.94,10332.177948717948,0.5384615384615384,71.0,Greed,True,True,3072.7876450000003,Greed,70.0,146.936704,78438.25,0.0,Mid-High,2.3650150538950108
2023-12-25,-245.081348,0.0,3,0.0,59948.51,19982.836666666666,0.6666666666666666,73.0,Greed,False,False,2827.706297,Greed,71.0,1008.619956,402954.94,0.0,Mid-High,-0.5161627065715362
2023-12-27,-704.8892269999999,0.0,28,0.14285714285714285,171411.06,6121.823571428571,0.5357142857142857,73.0,Greed,False,False,2122.81707,Greed,73.0,-245.081348,59948.51,0.0,Mid-High,-1.296224307543961
2023-12-28,-970.730876,-13.250952,23,0.0,100117.25,4352.923913043478,0.43478260869565216,73.0,Greed,False,False,1152.086194,Greed,73.0,-704.8892269999999,171411.06,1.0,Mid-High,-1.4095208237677737
2023-12-29,508.92214299999995,0.0,50,0.3,569559.72,11391.1944,0.62,65.0,Greed,True,False,1661.008337,Greed,73.0,-970.730876,100117.25,1.0,Mid-Low,0.7429446850587639
2023-12-30,354.998648,0.0,52,0.4423076923076923,702550.21,13510.58096153846,0.38461538461538464,68.0,Greed,True,True,2016.006985,Greed,65.0,508.92214299999995,569559.72,0.0,Mid-High,0.5087189565088324
2024-01-01,-129.53146,0.0,18,0.05555555555555555,264239.52999999997,14679.973888888888,0.5555555555555556,65.0,Greed,False,False,1886.475525,Greed,68.0,354.998648,702550.21,1.0,Mid-Low,-0.18587310496478252
2024-01-02,783.979116,0.0,17,0.47058823529411764,121348.74,7138.1611764705885,0.5294117647058824,71.0,Greed,True,False,2670.4546410000003,Greed,65.0,-129.53146,264239.52999999997,1.0,Mid-High,1.216347712555557
2024-01-03,866.015507,0.0,67,0.417910447761194,394499.36,5888.050149253731,0.47761194029850745,70.0,Greed,True,False,3536.4701480000003,Greed,71.0,783.979116,121348.74,0.0,Mid-High,1.1982938012924031
2024-01-04,-67.60364,-0.0786,5,0.0,99792.54000000001,19958.508,0.4,68.0,Greed,False,False,3468.8665080000005,Greed,70.0,866.015507,394499.36,1.0,Mid-High,-0.10569815954255243
2024-01-05,164.141565,0.0,66,0.19696969696969696,1703942.66,25817.31303030303,0.4696969696969697,72.0,Greed,True,False,3633.0080730000004,Greed,68.0,-67.60364,99792.54000000001,1.0,Mid-High,0.41948965992667
2024-01-06,135.58166400000002,0.0,22,0.45454545454545453,298521.4,13569.154545454547,0.5,70.0,Greed,True,True,3768.5897370000002,Greed,72.0,164.141565,1703942.66,0.0,Mid-High,0.3457286413806896
2024-01-07,-835.681235,0.0,97,0.09278350515463918,1048850.06,10812.887216494846,0.5360824742268041,71.0,Greed,False,True,2932.908502,Greed,70.0,135.58166400000002,298521.4,0.0,Mid-High,-1.444001958455811
2024-01-08,-269.874439,0.0,128,0.25,1522452.43,11894.159609375,0.3125,71.0,Greed,False,False,2663.034063,Greed,71.0,-835.681235,1048850.06,0.0,Mid-High,-0.45622021329423706
2024-01-09,-826.349863,0.0,70,0.2571428571428571,870051.97,12429.313857142857,0.4,76.0,Extreme Greed,False,False,1836.6842000000001,Greed,71.0,-269.874439,1522452.43,0.0,High,-1.3789691485702413
2024-01-10,-1517.091342,0.0,193,0.21243523316062177,2057479.48,10660.515440414507,0.47668393782383417,73.0,Greed,False,False,319.5928580000002,Greed,76.0,-826.349863,870051.97,0.0,Mid-High,-2.4359712859757523
2024-01-11,-164.08950099999998,0.0,21,0.23809523809523808,305314.1,14538.766666666666,0.6190476190476191,76.0,Extreme Greed,False,False,155.50335700000022,Greed,73.0,-1517.091342,2057479.48,0.0,High,-0.26739156647056306
2024-01-12,-1925.519024,0.0,7,0.0,200082.27,28583.181428571428,0.7142857142857143,71.0,Greed,False,False,-1770.0156669999997,Greed,76.0,-164.08950099999998,305314.1,1.0,Mid-High,-2.5814841989120936
